# Log header
#-------------------------------------
# Application: Presence
# Log description: 
# Device: XeThru X4M300, USB, /dev/cu.usbmodem1421
# FW Version: 1.4.7
# SW Version: 2.6.0
# Time: 4/24/18 9:56 AM
#
# Module settings
#-------------------------------------
# Detection zone: 2.03185 to 8.9763
# Sensitivity: 3
#-------------------------------------
TimeStamp;Counter;PresenceState;MovementIntervalCount;DetectionCount;MovementSlowItem;MovementFastItem;DetectionDistance;DetectionRadarCrossSection;DetectionVelocity
2018-04-24T09:56:56.878-05:00;3568;1;137;0;[7.18119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2555,94.5256,81.3869,4.74453,0.364964,4.0146,1.82482,0.729927,0,0.364964,0,0,0,1.09489,2.18978,6.93431,6.56934,13.5036,35.7664,44.8905,44.5255,32.4818,11.6788,6.20438,8.39416,12.4088,5.83942,1.45985,0.729927,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,2.18978,1.82482,2.18978,0.364964,0.729927,0,0.729927,26.6423,55.4745,77.7372,87.5912,87.5912,74.8175,53.2847,17.1533,5.47445,6.20438,4.37956,3.64964];[0.311086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,3.84615,0,3.84615,3.84615,7.69231,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:56:57.875-05:00;3585;1;137;0;[5.18463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,27.3723,10.219,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0.729927,9.48905,29.562,41.2409,40.8759,27.3723,10.5839,4.74453,4.74453,8.0292,2.91971,0.729927,0.729927,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45985,2.55474,1.45985,0.364964,0.729927,0,0.729927,23.7226,52.5547,75.1825,86.1314,86.8613,68.6131,51.4599,17.1533,5.10949,4.0146,3.64964,2.18978];[0.480769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,7.69231,7.69231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,7.69231,7.69231,3.84615,7.69231];[];[];[]
2018-04-24T09:56:58.872-05:00;3602;1;137;0;[4.37956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,8.39416,26.2774,37.2263,35.7664,22.9927,8.39416,4.37956,4.37956,8.39416,2.18978,0.729927,0.729927,1.45985,1.09489,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09489,2.18978,0.729927,0.364964,0.729927,0.364964,1.09489,16.7883,48.1752,66.7883,79.927,76.6423,62.4088,48.5401,14.9635,2.91971,3.64964,3.28467,1.82482];[0.424208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,19.2308,15.3846,7.69231,0];[];[];[]
2018-04-24T09:56:59.868-05:00;3619;1;137;0;[3.86432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,8.75912,26.2774,31.7518,31.3869,20.438,7.29927,5.10949,6.56934,9.12409,2.55474,0.364964,0.364964,1.09489,1.09489,0.729927,0,0,0,0,0,0.364964,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0.364964,1.82482,0.364964,0,0.729927,0.364964,1.09489,16.0584,40.8759,58.3942,70.8029,62.7737,51.8248,41.9708,13.1387,2.91971,3.64964,3.28467,1.09489];[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:00.866-05:00;3636;1;137;0;[3.51546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,8.39416,26.2774,32.4818,31.7518,18.6131,6.93431,5.83942,9.48905,12.4088,4.0146,0.364964,0.729927,1.09489,1.45985,0.729927,0,0,0,0,0,1.09489,0,0,0,0,0.364964,0.364964,0,0,0,0,0,0,0,0,1.45985,0,0,0.729927,0.364964,1.09489,13.8686,32.4818,50.7299,58.0292,51.0949,44.1606,37.5912,12.7737,2.55474,4.74453,2.91971,0.729927];[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:01.862-05:00;3653;1;137;0;[3.38396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,7.29927,26.6423,31.0219,31.0219,18.6131,7.66423,8.0292,12.0438,14.9635,6.56934,0.729927,0.729927,1.45985,1.45985,0.729927,0.364964,0,0,0,0,1.09489,0,0,0,0,0.364964,0.364964,0,0,0,0,0,0,0,0,0.729927,0,0.364964,0.729927,0,1.09489,14.5985,31.0219,43.4307,54.7445,44.1606,40.8759,32.4818,12.4088,4.0146,4.0146,3.64964,0.364964];[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:02.859-05:00;3670;1;137;0;[3.38665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,7.29927,27.0073,31.0219,31.7518,18.6131,8.75912,9.48905,12.4088,15.6934,6.93431,0.729927,0.729927,1.45985,1.45985,1.09489,0.364964,0,0,0,0,1.09489,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0.364964,0.364964,0,1.09489,11.6788,30.292,41.2409,55.1095,44.5255,40.146,32.4818,12.7737,5.10949,4.74453,3.64964,0.364964];[0.197964,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,7.69231,0,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:03.856-05:00;3687;1;137;0;[3.17733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47445,25.9124,30.292,29.1971,17.1533,6.56934,8.0292,11.3139,14.2336,6.20438,0.729927,0.729927,1.09489,1.45985,1.09489,0.364964,0,0,0,0,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75912,26.6423,39.4161,54.3796,45.6204,38.3212,32.1168,12.4088,4.74453,4.74453,3.64964,0.364964];[0.339367,30.7692,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:04.853-05:00;3704;1;137;0;[2.72112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82482,23.3577,27.7372,26.2774,13.8686,5.10949,5.47445,11.6788,13.1387,5.10949,1.09489,0.729927,1.09489,1.45985,1.09489,0.729927,0,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37956,19.3431,36.4963,49.635,38.6861,33.9416,28.4672,8.75912,4.37956,3.28467,2.18978,0];[6.56109,69.2308,57.6923,38.4615,26.9231,7.69231,3.84615,0,0,0,0,7.69231,42.3077,65.3846,53.8462,46.1538,23.0769,7.69231,0,0,7.69231,19.2308,34.6154,23.0769,23.0769,7.69231,11.5385,7.69231,0,3.84615,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,30.7692,30.7692,50,53.8462,50,46.1538,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[];[];[]
2018-04-24T09:57:05.850-05:00;3721;1;137;0;[2.0717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8686,24.0876,19.3431,7.29927,3.64964,4.74453,12.0438,12.4088,4.0146,1.09489,0.729927,1.45985,1.82482,1.45985,0.729927,0.729927,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,9.85401,30.292,42.3358,29.562,23.7226,23.7226,6.20438,3.28467,1.45985,0.364964,0];[12.0758,61.5385,73.0769,76.9231,80.7692,76.9231,84.6154,69.2308,53.8462,42.3077,42.3077,11.5385,0,0,3.84615,23.0769,42.3077,34.6154,38.4615,50,42.3077,38.4615,30.7692,53.8462,65.3846,69.2308,61.5385,30.7692,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846,26.9231,34.6154,26.9231,46.1538,42.3077,38.4615,38.4615,34.6154,30.7692,15.3846,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,7.69231];[];[];[]
